sp|P14314|GLU2B_HUMAN	NP_001393034.1	44.898	147	81	0	39	185	45	191	1.17e-36	143	528	582
sp|P14314|GLU2B_HUMAN	NP_001393033.1	37.725	167	90	3	370	528	454	614	2.50e-30	125	528	614
sp|P14314|GLU2B_HUMAN	XP_066162895.1	56.098	82	36	0	37	118	51	132	4.08e-27	108	528	203
sp|P14314|GLU2B_HUMAN	XP_015626319.1	56.098	82	36	0	37	118	51	132	5.83e-27	108	528	221
sp|P14314|GLU2B_HUMAN	XP_025880473.1	38.806	134	76	2	370	503	454	581	3.50e-26	112	528	598
sp|P62191|PRS4_HUMAN	NP_001390205.1	75.893	448	100	3	1	440	1	448	0.0	701	440	448
sp|P62191|PRS4_HUMAN	XP_015632801.1	74.945	451	101	3	1	440	1	450	0.0	697	440	450
sp|P62191|PRS4_HUMAN	XP_015626952.1	50.139	361	178	1	61	421	44	402	4.25e-135	395	440	419
sp|P62191|PRS4_HUMAN	XP_015641102.1	45.526	380	186	1	73	431	43	422	1.02e-115	346	440	429
sp|P62191|PRS4_HUMAN	XP_015626915.1	52.308	325	154	1	109	432	90	414	3.08e-115	344	440	424
sp|P62191|PRS4_HUMAN	NP_001411082.1	52.000	325	155	1	109	432	89	413	3.69e-114	342	440	423
sp|P62191|PRS4_HUMAN	NP_001388924.1	45.000	380	188	1	73	431	43	422	4.57e-114	342	440	429
sp|P62191|PRS4_HUMAN	NP_001389702.1	48.071	337	169	2	106	436	85	421	5.02e-108	326	440	426
sp|P62191|PRS4_HUMAN	NP_001388920.1	48.071	337	169	2	106	436	85	421	5.02e-108	326	440	426
sp|P62191|PRS4_HUMAN	XP_015624666.1	42.507	367	205	2	56	422	17	377	5.03e-102	310	440	400
sp|Q04323|UBXN1_HUMAN	XP_015648838.1	30.000	300	164	10	13	270	17	312	7.22e-23	97.1	297	348
sp|Q04323|UBXN1_HUMAN	XP_015622549.1	39.080	174	84	2	7	180	118	269	2.93e-13	70.1	297	414
sp|Q04323|UBXN1_HUMAN	XP_015619405.1	40.000	65	39	0	5	69	1296	1360	7.58e-08	54.3	297	3645
sp|Q04323|UBXN1_HUMAN	XP_015621518.1	46.512	43	23	0	10	52	617	659	1.86e-07	52.8	297	794
sp|Q04323|UBXN1_HUMAN	XP_015617568.1	36.250	80	46	3	204	283	301	375	1.00e-05	47.4	297	535
sp|Q04323|UBXN1_HUMAN	XP_015611508.1	32.530	83	55	1	5	86	1286	1368	5.60e-05	45.4	297	3680
sp|Q04323|UBXN1_HUMAN	XP_015611507.1	32.530	83	55	1	5	86	1285	1367	5.75e-05	45.4	297	3715
sp|Q04323|UBXN1_HUMAN	XP_015611506.1	32.530	83	55	1	5	86	1286	1368	5.75e-05	45.4	297	3716
sp|Q8NFI3|ENASE_HUMAN	XP_015640507.1	38.428	458	249	12	82	523	49	489	1.74e-93	306	743	710
sp|Q8NFI3|ENASE_HUMAN	XP_015640506.1	37.607	468	249	13	82	523	49	499	2.10e-90	298	743	720
sp|Q9BUN8|DERL1_HUMAN	NP_001405942.1	34.259	216	123	4	4	206	5	214	3.65e-32	118	251	249
sp|Q9BUN8|DERL1_HUMAN	NP_001407164.1	29.412	255	162	6	1	250	1	242	1.00e-31	117	251	242
sp|Q13724|MOGS_HUMAN	XP_015620874.1	38.958	806	420	19	67	837	99	867	0.0	553	837	872
sp|Q13724|MOGS_HUMAN	XP_015620875.1	38.920	722	371	18	151	837	10	696	1.18e-163	492	837	701
sp|P54727|RD23B_HUMAN	NP_001412630.1	35.225	423	206	8	1	409	1	369	2.67e-69	223	409	369
sp|P54727|RD23B_HUMAN	XP_015622748.1	35.142	424	206	8	1	409	1	370	3.82e-69	223	409	370
sp|P54727|RD23B_HUMAN	NP_001390725.1	33.488	430	224	9	1	409	1	389	1.04e-68	223	409	392
sp|P54727|RD23B_HUMAN	NP_001390726.1	33.411	431	224	10	1	409	1	390	4.84e-67	218	409	393
sp|P54727|RD23B_HUMAN	XP_015643927.1	34.852	439	213	11	1	402	1	403	1.73e-61	204	409	413
sp|P54727|RD23B_HUMAN	XP_015650876.1	40.541	74	44	0	1	74	1	74	3.85e-13	70.9	409	406
sp|P54727|RD23B_HUMAN	XP_015650878.1	40.541	74	44	0	1	74	1	74	4.05e-13	70.9	409	405
sp|P54727|RD23B_HUMAN	NP_001408599.1	41.270	63	34	1	3	65	79	138	1.68e-07	50.8	409	153
sp|P54727|RD23B_HUMAN	NP_001408599.1	35.938	64	38	1	1	64	1	61	2.99e-04	41.6	409	153
sp|P54727|RD23B_HUMAN	NP_001390729.1	41.270	63	34	1	3	65	79	138	1.96e-07	50.8	409	153
sp|P54727|RD23B_HUMAN	NP_001390729.1	35.938	64	38	1	1	64	1	61	3.31e-04	41.2	409	153
sp|P54727|RD23B_HUMAN	XP_015647086.1	34.177	79	48	2	1	79	24	98	3.88e-07	52.8	409	966
sp|Q96IV0|NGLY1_HUMAN	NP_001409093.1	45.192	312	147	7	173	472	134	433	4.02e-70	242	654	727
sp|Q96IV0|NGLY1_HUMAN	XP_015647077.1	45.192	312	147	7	173	472	191	490	6.19e-70	243	654	784
sp|Q96IV0|NGLY1_HUMAN	XP_015622549.1	42.593	54	31	0	31	84	325	378	1.53e-05	48.1	654	414
sp|Q96IV0|NGLY1_HUMAN	XP_015648838.1	42.000	50	29	0	31	80	257	306	4.68e-04	43.5	654	348
sp|Q14697|GANAB_HUMAN	NP_001404339.1	44.609	946	435	16	32	943	28	918	0.0	800	944	919
sp|Q14697|GANAB_HUMAN	XP_015640953.1	35.127	632	343	13	251	851	177	772	2.07e-100	335	944	886
sp|Q14697|GANAB_HUMAN	XP_025881777.2	35.407	627	351	13	251	851	174	772	2.06e-98	329	944	885
sp|Q14697|GANAB_HUMAN	NP_001408632.1	35.407	627	351	13	251	851	174	772	3.12e-98	329	944	885
sp|Q14697|GANAB_HUMAN	XP_066167276.1	35.407	627	351	13	251	851	197	795	3.26e-98	329	944	908
sp|Q14697|GANAB_HUMAN	XP_015643119.1	35.407	627	351	13	251	851	197	795	5.60e-98	328	944	908
sp|Q14697|GANAB_HUMAN	XP_015647370.1	36.077	571	323	12	373	927	246	790	3.04e-94	321	944	1057
sp|Q14697|GANAB_HUMAN	XP_015645092.2	35.009	577	336	13	366	927	227	779	1.20e-91	314	944	1045
sp|Q14697|GANAB_HUMAN	XP_015645091.2	35.009	577	336	13	366	927	227	779	1.29e-91	314	944	1046
sp|Q14697|GANAB_HUMAN	XP_015622373.1	29.619	682	387	17	227	848	159	807	3.88e-80	280	944	932
sp|Q92685|ALG3_HUMAN	NP_001396159.1	44.709	378	193	5	64	431	40	411	1.97e-85	267	438	414
sp|Q92685|ALG3_HUMAN	XP_025878911.2	41.337	404	195	8	64	431	40	437	2.46e-81	258	438	440
sp|Q9H3H5|GPT_HUMAN	XP_015647599.1	39.901	406	181	7	5	401	74	425	8.85e-89	275	408	430
sp|Q9NP73|ALG13_HUMAN	XP_066163463.1	42.236	161	88	2	2	157	7	167	1.37e-31	122	1137	172
sp|Q9NP73|ALG13_HUMAN	XP_015626581.1	42.236	161	88	2	2	157	7	167	1.37e-31	122	1137	172
sp|Q9NP73|ALG13_HUMAN	XP_015626580.1	42.236	161	88	2	2	157	7	167	1.37e-31	122	1137	172
