tax_id,species_name
23, Shewanella colwelliana
24, Shewanella putrefaciens
25, Shewanella hanedai
33, Myxococcus fulvus
41, Stigmatella aurantiaca
48, Archangium gephyra
52, Chondromyces crocatus
54, Nannocystis exedens
61, Vitreoscilla stercoraria
63, Vitreoscilla filiformis
69, Lysobacter enzymogenes
84, Hyphomicrobium methylovorum
89, Leptothrix discophora
94, Stella humosa
100, Ancylobacter aquaticus
102, Polaribacter glomeratus
114, Gemmata obscuriglobus
122, Gimesia maris
140, Borrelia hermsii
144, Borrelia coriaceae
150, Spirochaeta isovalerica
156, Teretinema zuelzerae
159, Brachyspira hyodysenteriae
162, Treponema phagedenis
163, Treponema bryantii
164, Treponema pectinovorum
165, Treponema saccharophilum
192, Azospirillum brasilense
193, Azospirillum lipoferum
195, Campylobacter coli
196, Campylobacter fetus
199, Campylobacter concisus
200, Campylobacter curvus
202, Campylobacter mucosalis
203, Campylobacter rectus
204, Campylobacter showae
210, Helicobacter pylori
215, Helicobacter fennelliae
216, Helicobacter muridarum
217, Helicobacter mustelae
228, Pseudoalteromonas haloplanktis
238, Elizabethkingia meningoseptica
244, Planomicrobium okeanokoites
246, Chryseobacterium balustinum
250, Chryseobacterium gleum
252, Halomonas halmophila
253, Chryseobacterium indologenes
254, Chryseobacterium indoltheticum
256, Myroides odoratus
258, Sphingobacterium spiritivorum
259, Sphingobacterium thalpophilum
266, Paracoccus denitrificans
276, Thermus filiformis
280, Xanthobacter autotrophicus
281, Xanthobacter flavus
285, Comamonas testosteroni
288, Pseudoalteromonas atlantica
290, [Pseudomonas] carboxydohydrogena
292, Burkholderia cepacia
293, Brevundimonas diminuta
294, Pseudomonas fluorescens
296, Pseudomonas fragi
297, Hydrogenophilus thermoluteolus
298, Pseudomonas marginalis
301, Ectopseudomonas oleovorans
304, Roseateles saccharophilus
305, Ralstonia solanacearum
316, Stutzerimonas stutzeri
317, Pseudomonas syringae
329, Ralstonia pickettii
333, Pseudomonas chlororaphis subsp. chlororaphis
350, Zoogloea ramigera
353, Azotobacter chroococcum
358, Agrobacterium tumefaciens
359, Rhizobium rhizogenes
362, Agrobacterium radiobacter
373, Agrobacterium vitis
375, Bradyrhizobium japonicum
381, Mesorhizobium loti
382, Sinorhizobium meliloti
384, Rhizobium leguminosarum
396, Rhizobium phaseoli
410, Methylobacterium organophilum
421, Methylomonas methanica
428, Methylosinus sporium
436, Novacetimonas hansenii
437, Acidomonas methanolica
438, Acetobacter pasteurianus
446, Legionella pneumophila
447, Legionella bozemanae
448, Legionella erythra
449, Legionella hackeliae
451, Legionella micdadei
452, Legionella spiritensis
453, Legionella feeleii
454, Legionella israelensis
456, Legionella jordanis
458, Legionella rubrilucens
460, Legionella steigerwaltii
464, Fluoribacter gormanii
466, Legionella maceachernii
470, Acinetobacter baumannii
471, Acinetobacter calcoaceticus
476, Moraxella bovis
477, Moraxella lacunata
478, Moraxella nonliquefaciens
480, Moraxella catarrhalis
483, Neisseria cinerea
484, Neisseria flavescens
485, Neisseria gonorrhoeae
486, Neisseria lactamica
487, Neisseria meningitidis
488, Neisseria mucosa
489, Neisseria polysaccharea
490, Neisseria sicca
492, Neisseria animalis
493, Neisseria canis
494, Bergeriella denitrificans
495, Neisseria elongata
498, Psychrobacter immobilis
502, Kingella denitrificans
504, Kingella kingae
505, Kingella oralis
511, Alcaligenes faecalis
518, Bordetella bronchiseptica
519, Bordetella parapertussis
520, Bordetella pertussis
521, Bordetella avium
526, Acidiphilium rubrum
529, Brucella anthropi
536, Chromobacterium violaceum
537, Iodobacter fluviatilis
539, Eikenella corrodens
546, Citrobacter freundii
548, Klebsiella aerogenes
549, Pantoea agglomerans
550, Enterobacter cloacae
552, Erwinia amylovora
554, Pectobacterium carotovorum
564, Escherichia fergusonii
565, Atlantibacter hermannii
566, Pseudescherichia vulneris
569, Hafnia alvei
571, Klebsiella oxytoca
575, Raoultella planticola
577, Raoultella terrigena
585, Proteus vulgaris
587, Providencia rettgeri
588, Providencia stuartii
615, Serratia marcescens
618, Serratia odorifera
621, Shigella boydii
622, Shigella dysenteriae
624, Shigella sonnei
631, Yersinia intermedia
633, Yersinia pseudotuberculosis
634, Yersinia bercovieri
636, Edwardsiella tarda
638, Arsenophonus nasoniae
645, Aeromonas salmonicida
646, Aeromonas sobria
648, Aeromonas caviae
649, Aeromonas eucrenophila
650, Aeromonas jandaei
651, Aeromonas media
652, Aeromonas schubertii
654, Aeromonas veronii
656, Aeromonas allosaccharophila
659, Photobacterium phosphoreum
661, Photobacterium angustum
663, Vibrio alginolyticus
666, Vibrio cholerae
669, Vibrio harveyi
673, Grimontia hollisae
674, Vibrio mimicus
675, Vibrio cincinnatiensis
676, Vibrio fluvialis
680, Vibrio campbellii
685, Vibrio diazotrophicus
687, Vibrio gazogenes
688, Aliivibrio logei
689, Vibrio mediterranei
703, Plesiomonas shigelloides
714, Aggregatibacter actinomycetemcomitans
715, Actinobacillus pleuropneumoniae
718, Actinobacillus equuli
720, Actinobacillus lignieresii
722, Actinobacillus seminis
723, Actinobacillus ureae
726, Haemophilus haemolyticus
727, Haemophilus influenzae
728, Avibacterium paragallinarum
729, Haemophilus parainfluenzae
730, [Haemophilus] ducreyi
733, Canicola haemoglobinophilus
734, Haemophilus paracuniculus
735, Haemophilus parahaemolyticus
736, Haemophilus paraphrohaemolyticus
738, Glaesserella parasuis
747, Pasteurella multocida
751, Avibacterium avium
753, Pasteurella canis
754, Pasteurella dagmatis
755, Avibacterium gallinarum
758, Rodentibacter pneumotropicus
761, Pasteurella testudinis
762, Avibacterium volantium
784, Orientia tsutsugamushi
803, Bartonella quintana
807, Bartonella elizabethae
818, Bacteroides thetaiotaomicron
820, Bacteroides uniformis
823, Parabacteroides distasonis
824, Campylobacter gracilis
827, Campylobacter ureolyticus
831, Butyrivibrio fibrisolvens
844, Wolinella succinogenes
847, Oxalobacter formigenes
855, Fusobacterium simiae
858, Fusobacterium necrogenes
861, Fusobacterium ulcerans
865, Pectinatus frisingensis
867, Ruminobacter amylophilus
876, Desulfovibrio desulfuricans
897, Desulfococcus multivorans
901, Desulfovibrio piger
917, Nitrosomonas marina
923, Guyparkeria hydrothermalis
926, Thiomonas intermedia
949, Anaplasma platys
955, Wolbachia pipientis
960, Bacteriovorax stolpii
964, Herbaspirillum seropedicae
966, Oceanospirillum linum
981, Persicobacter diffluens
983, Flavobacterium flevense
988, Leeuwenhoekiella marinoflava
990, Breznakibacter xylanolyticus
991, Flavobacterium hydatis
996, Flavobacterium columnare
1003, Thermoflexibacter ruber
1004, Chitinophaga sancti
1010, Sphingobacterium mizutaii
1014, Weeksella virosa
1015, Bergeyella zoohelcum
1017, Capnocytophaga gingivalis
1019, Capnocytophaga sputigena
1028, Marivirga sericea
1035, Afipia felis
1044, Erythrobacter longus
1048, Marichromatium gracile
1052, Halorhodospira halochloris
1054, Ectothiorhodospira shaposhnikovii
1057, Thiococcus pfennigii
1058, Thiocapsa roseopersicina
1066, Rhodocyclus tenuis
1067, Rhodocyclus purpureus
1071, Rhodopila globiformis
1074, Rhodoblastus acidophilus
1075, Pseudogemmobacter blasticus
1076, Rhodopseudomonas palustris
1079, Blastochloris viridis
1082, Magnetospirillum fulvum
1088, Rhodovibrio sodomensis
1094, Chlorobium phaeovibrioides
1098, Prosthecochloris vibrioformis
1112, Erythrobacter neustonensis
1160, Planktothrix agardhii
1233, Nitrosovibrio tenuis
1238, Piscirickettsia salmonis
1246, Leuconostoc lactis
1247, Oenococcus oeni
1249, Weissella paramesenteroides
1251, Leuconostoc fallax
1252, Leuconostoc carnosum
1254, Pediococcus acidilactici
1258, Peptoniphilus asaccharolyticus
1260, Finegoldia magna
1267, Sarcina ventriculi
1272, Kocuria varians
1273, Micrococcus lylae
1274, Dermacoccus nishinomiyaensis
1275, Kocuria rosea
1276, Kytococcus sedentarius
1281, Staphylococcus carnosus
1282, Staphylococcus epidermidis
1283, Staphylococcus haemolyticus
1284, Staphylococcus hyicus
1286, Staphylococcus simulans
1288, Staphylococcus xylosus
1290, Staphylococcus hominis
1292, Staphylococcus warneri
1293, Staphylococcus gallinarum
1294, Staphylococcus muscae
1295, Staphylococcus schleiferi
1296, Mammaliicoccus sciuri
1302, Streptococcus gordonii
1305, Streptococcus sanguinis
1308, Streptococcus thermophilus
1309, Streptococcus mutans
1310, Streptococcus sobrinus
1311, Streptococcus agalactiae
1313, Streptococcus pneumoniae
1314, Streptococcus pyogenes
1323, Faecalicoccus pleomorphus
1326, Streptococcus acidominimus
1328, Streptococcus anginosus
1329, Streptococcus canis
1333, Streptococcus criceti
1334, Streptococcus dysgalactiae
1335, Streptococcus equinus
1337, Streptococcus hyointestinalis
1338, Streptococcus intermedius
1340, Streptococcus porcinus
1341, Streptococcus ratti
1343, Streptococcus vestibularis
1345, Streptococcus ferus
1346, Streptococcus iniae
1349, Streptococcus uberis
1352, Enterococcus faecium
1353, Enterococcus gallinarum
1354, Enterococcus hirae
1360, Lactococcus lactis subsp. lactis
1363, Lactococcus garvieae
1364, Pseudolactococcus piscium
1366, Pseudolactococcus raffinolactis
1371, Marinococcus halophilus
1373, Planococcus citreus
1374, Planococcus kocurii
1376, Aerococcus urinae
1377, Aerococcus viridans
1379, Gemella haemolysans
1390, Bacillus amyloliquefaciens
1393, Brevibacillus brevis
1397, Niallia circulans
1399, Cytobacillus firmus
1402, Bacillus licheniformis
1405, Bacillus mycoides
1407, Peribacillus psychrosaccharolyticus
1421, Lysinibacillus sphaericus
